state,year,median_income
Alabama,2018,49861
Alaska,2018,74346
Arizona,2018,59246
Arkansas,2018,47062
California,2018,75277
Colorado,2018,71953
Connecticut,2018,76348
Delaware,2018,64805
District of Columbia,2018,85203
Florida,2018,55462
Georgia,2018,58756
Hawaii,2018,80212
Idaho,2018,55583
Illinois,2018,65030
Indiana,2018,55746
Iowa,2018,59955
Kansas,2018,58218
Kentucky,2018,50247
Louisiana,2018,47905
Maine,2018,55602
Maryland,2018,83242
Massachusetts,2018,79835
Michigan,2018,56697
Minnesota,2018,70315
Mississippi,2018,44717
Missouri,2018,54478
Montana,2018,55328
Nebraska,2018,59566
Nevada,2018,58646
New Hampshire,2018,74991
New Jersey,2018,81740
New Mexico,2018,47169
New York,2018,67844
North Carolina,2018,53855
North Dakota,2018,63837
Ohio,2018,56111
Oklahoma,2018,51924
Oregon,2018,63426
Pennsylvania,2018,60905
Rhode Island,2018,64340
South Carolina,2018,52306
South Dakota,2018,56274
Tennessee,2018,52375
Texas,2018,60629
Utah,2018,71414
Vermont,2018,60782
Virginia,2018,72577
Washington,2018,74073
West Virginia,2018,44097
Wisconsin,2018,60773
Wyoming,2018,61584
Alabama,2017,48123
Alaska,2017,73181
Arizona,2017,56581
Arkansas,2017,45869
California,2017,71805
Colorado,2017,69117
Connecticut,2017,74168
Delaware,2017,62852
District of Columbia,2017,82372
Florida,2017,52594
Georgia,2017,56183
Hawaii,2017,77765
Idaho,2017,52225
Illinois,2017,62992
Indiana,2017,54181
Iowa,2017,58570
Kansas,2017,56422
Kentucky,2017,48375
Louisiana,2017,46145
Maine,2017,55277
Maryland,2017,80776
Massachusetts,2017,77385
Michigan,2017,54909
Minnesota,2017,68388
Mississippi,2017,43529
Missouri,2017,53578
Montana,2017,53386
Nebraska,2017,59970
Nevada,2017,58003
New Hampshire,2017,73381
New Jersey,2017,80088
New Mexico,2017,46744
New York,2017,64894
North Carolina,2017,52752
North Dakota,2017,61843
Ohio,2017,54021
Oklahoma,2017,50051
Oregon,2017,60212
Pennsylvania,2017,59105
Rhode Island,2017,63870
South Carolina,2017,50570
South Dakota,2017,56521
Tennessee,2017,51340
Texas,2017,59206
Utah,2017,65358
Vermont,2017,57513
Virginia,2017,71535
Washington,2017,70979
West Virginia,2017,43469
Wisconsin,2017,59305
Wyoming,2017,60434
