id,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,roof_style,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmt_unf_sf,heating_qc,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,garage_cond,wood_deck_sf,mo_sold,yr_sold,saleprice,house_age,with_porch,remod/add,big_house,exterior
109,60,RL,0.0,9.511777409660299,1,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,8,1976,Gable,BrkFace,5.66988092298052,4,TA,CBlock,3,1,GLQ,6.280395838960195,5.262690188904886,5,6.587550014824796,6.626717749249025,7.299797366758161,0.0,2,1,3,4,0,0,Attchd,RFn,475.0,TA,0.0,3,2010,11.779128505744886,3.5553480614894135,1,1,0,Wood
544,60,RL,43.0,9.349493433368758,1,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,1996,Gable,BrkFace,4.890349128221754,4,TA,PConc,4,1,GLQ,6.45833828334479,5.6240175061873385,5,6.81783057145415,7.098375638590786,7.660585461703256,1.0,2,1,4,4,1,3,Attchd,RFn,559.0,TA,0.0,4,2009,12.301382825334498,2.6390573296152584,1,1,0,Vinyl
153,20,RL,68.0,8.977525200965243,0,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,Gable,None,0.0,3,Gd,CBlock,3,1,GLQ,6.595780513961311,5.7899601708972535,3,6.964135612418245,0.0,6.964135612418245,1.0,1,0,3,4,0,0,Detchd,Unf,246.0,TA,0.0,1,2010,11.59910316121128,4.060443010546419,1,1,0,Vinyl
318,60,RL,73.0,9.190443740261726,0,Lvl,Inside,Timber,Norm,1Fam,2Story,5,5,2006,Gable,None,0.0,3,TA,PConc,4,1,Unf,0.0,5.953243334287785,4,6.61338421837956,6.55250788703459,7.275864600546533,0.0,2,1,3,3,0,0,BuiltIn,Fin,400.0,TA,4.61512051684126,4,2010,12.066810578196666,1.6094379124341003,0,1,0,Vinyl
255,50,RL,82.0,9.563529246630083,1,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,Gable,None,0.0,3,TA,PConc,2,1,Unf,0.0,6.517671272912275,3,6.723832440821209,6.421622267806518,7.27655640271871,0.0,2,0,3,3,0,0,Detchd,Unf,484.0,TA,0.0,3,2010,11.83862560460953,4.709530201312334,1,1,0,Wood
138,20,RL,137.0,9.710691327448153,1,Lvl,Corner,NAmes,PosA,1Fam,1Story,6,6,1966,Gable,None,0.0,4,TA,CBlock,3,1,ALQ,5.5134287461649825,6.324358962381311,5,7.543802867501509,0.0,7.543802867501509,0.0,2,1,2,4,1,4,Attchd,Fin,578.0,TA,0.0,6,2010,12.154779351142624,3.8066624897703196,0,1,0,Brick
2827,180,RM,35.0,8.209580483475577,0,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,Gable,BrkFace,4.418840607796598,3,TA,PConc,4,4,GLQ,6.306275286948016,0.0,4,6.9782137426306985,0.0,6.9782137426306985,1.0,2,0,2,3,0,0,Basment,Fin,525.0,TA,0.0,6,2006,11.84939770159144,0.6931471805599453,1,1,0,Vinyl
145,20,RL,0.0,9.405989388981,1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,Hip,BrkFace,5.198497031265826,3,TA,CBlock,3,1,Rec,6.90875477931522,5.241747015059643,2,7.080867896690782,0.0,7.080867896690782,1.0,1,0,3,3,0,0,Attchd,RFn,531.0,TA,0.0,5,2010,11.863582336583399,3.9512437185814275,0,0,0,Wood
1942,20,RL,0.0,9.66675204770245,0,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,5,1952,Gable,None,0.0,3,TA,CBlock,3,1,Rec,5.680172609017068,6.450470422144176,3,6.829793737512425,0.0,6.829793737512425,0.0,1,0,2,3,0,0,Detchd,Unf,420.0,TA,0.0,6,2007,11.630708500626612,4.02535169073515,1,0,0,Wood
1956,60,RL,70.0,9.359363643368622,1,HLS,Inside,NAmes,Norm,1Fam,2Story,5,5,1969,Gable,BrkFace,5.262690188904886,3,TA,PConc,4,3,Rec,6.478509642208569,5.968707559985366,3,6.947937068614969,6.947937068614969,7.640603826393634,0.0,1,2,5,2,2,3,Attchd,Unf,504.0,TA,5.817111159963204,9,2007,11.813030057420567,3.6635616461296463,0,0,0,Wood
1044,160,RM,21.0,7.427144133408616,0,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,Gable,BrkFace,5.4510384535657,3,TA,CBlock,3,1,ALQ,5.961005339623274,4.574710978503383,3,6.182084906716632,6.22455842927536,6.895682697747868,0.0,1,1,2,3,0,0,Detchd,Unf,264.0,TA,0.0,7,2008,11.355101379776661,3.6375861597263857,0,0,0,Wood
2752,20,RL,64.0,8.921190556249368,1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2005,Gable,None,0.0,4,TA,PConc,4,3,GLQ,5.976350909297934,6.704414354964107,5,7.097548850614793,0.0,7.097548850614793,0.0,2,0,2,4,0,0,Attchd,RFn,632.0,TA,4.663439094112067,2,2006,12.120514757168527,0.6931471805599453,1,0,0,Vinyl
